,AgentID,AgentStrategy,EventType,Event
353,354,NoiseAgent,STARTING_CASH,10000000.0
354,355,NoiseAgent,STARTING_CASH,10000000.0
355,356,NoiseAgent,STARTING_CASH,10000000.0
356,357,NoiseAgent,STARTING_CASH,10000000.0
357,358,NoiseAgent,STARTING_CASH,10000000.0
358,359,NoiseAgent,STARTING_CASH,10000000.0
359,360,NoiseAgent,STARTING_CASH,10000000.0
360,361,NoiseAgent,STARTING_CASH,10000000.0
361,362,NoiseAgent,STARTING_CASH,10000000.0
362,363,NoiseAgent,STARTING_CASH,10000000.0
363,364,NoiseAgent,STARTING_CASH,10000000.0
364,365,NoiseAgent,STARTING_CASH,10000000.0
365,366,NoiseAgent,STARTING_CASH,10000000.0
366,367,NoiseAgent,STARTING_CASH,10000000.0
367,368,NoiseAgent,STARTING_CASH,10000000.0
368,369,NoiseAgent,STARTING_CASH,10000000.0
369,370,NoiseAgent,STARTING_CASH,10000000.0
370,371,NoiseAgent,STARTING_CASH,10000000.0
371,372,NoiseAgent,STARTING_CASH,10000000.0
372,373,NoiseAgent,STARTING_CASH,10000000.0
373,374,NoiseAgent,STARTING_CASH,10000000.0
374,375,NoiseAgent,STARTING_CASH,10000000.0
375,376,NoiseAgent,STARTING_CASH,10000000.0
376,377,NoiseAgent,STARTING_CASH,10000000.0
377,378,NoiseAgent,STARTING_CASH,10000000.0
378,379,NoiseAgent,STARTING_CASH,10000000.0
379,380,NoiseAgent,STARTING_CASH,10000000.0
380,381,NoiseAgent,STARTING_CASH,10000000.0
381,382,NoiseAgent,STARTING_CASH,10000000.0
382,383,NoiseAgent,STARTING_CASH,10000000.0
383,384,NoiseAgent,STARTING_CASH,10000000.0
384,385,NoiseAgent,STARTING_CASH,10000000.0
385,386,NoiseAgent,STARTING_CASH,10000000.0
386,387,NoiseAgent,STARTING_CASH,10000000.0
387,388,NoiseAgent,STARTING_CASH,10000000.0
388,389,NoiseAgent,STARTING_CASH,10000000.0
389,390,NoiseAgent,STARTING_CASH,10000000.0
390,391,NoiseAgent,STARTING_CASH,10000000.0
391,392,NoiseAgent,STARTING_CASH,10000000.0
392,393,NoiseAgent,STARTING_CASH,10000000.0
