EventTime,EventType,Event
1.612483200000345e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3269)
1.6124832000003538e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2516)
1.6124832000003538e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2517)
1.6124832000003546e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1250)
1.6124832000003546e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1251)
1.612483200000356e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1244)
1.612483200000356e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1245)
1.612483200000358e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2770)
1.612483200000358e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2771)
1.6124832000003625e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2118)
1.6124832000003625e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2119)
1.6124832000003692e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1954)
1.6124832000003692e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1955)
1.6124832000003748e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2220)
1.6124832000003748e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2221)
1.6124832000003776e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3280)
1.6124832000003776e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3281)
1.6124832000003807e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2996)
1.6124832000003807e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2997)
1.6124832000003878e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2436)
1.6124832000003878e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2437)
1.6124832000003924e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3340)
1.6124832000003924e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3341)
1.6124832000003976e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2928)
1.6124832000003976e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2929)
1.6124832000004e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2206)
1.6124832000004e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2207)
1.6124832000004114e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1352)
1.6124832000004114e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1353)
1.6124832000004193e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1498)
1.6124832000004193e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1499)
1.61248320000042e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2306)
1.61248320000042e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2307)
1.6124832000004247e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3144)
1.6124832000004247e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3145)
1.6124832000004419e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2384)
1.6124832000004419e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2385)
1.61248320000045e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1426)
1.61248320000045e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1427)
1.6124832000004513e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1896)
1.6124832000004513e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1897)
